Ticketid,Category,Subcategory_1,Subcategory_2,Subcategory_3
94122,Segnalazioni,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Imbrattati/sporchi
94123,Segnalazioni,Arredo urbano,Rastrelliere,Carenti
94125,Segnalazioni,Degrado ambientale,Inquinamento acustico,
94126,Segnalazioni,Degrado urbano,Edifici pubblici,Abbandonati
94128,Segnalazioni,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Dissestati
94129,Segnalazioni,Viabilità e traffico,Segnaletica ai sensi del CdS,Richiesta installazione/variazione
94130,Segnalazioni,Verde pubblico,Siepi/aiuole,Incuria
94134,Segnalazioni,Verde pubblico,Alberi/rami,Danneggiati
94139,Segnalazioni,Degrado urbano,Piazze/strade,Dissestate
94140,Segnalazioni,,,
94141,Segnalazioni,Verde pubblico,Vegetazione spontanea,
94146,Segnalazioni,Animali,Roditori,Presenze
94149,Segnalazioni,Verde pubblico,Alberi/rami,Danneggiati
94150,Segnalazioni,,,
94152,Segnalazioni,,,
94153,Segnalazioni,Verde pubblico,Siepi/aiuole,Incuria
94154,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Rifiuti urbani
94155,Segnalazioni,Verde pubblico,Vegetazione spontanea,
94157,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Danneggiata
94158,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Danneggiata
94160,Segnalazioni,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Imbrattati/sporchi
94161,Segnalazioni,Verde pubblico,Siepi/aiuole,Incuria
94162,Segnalazioni,Degrado urbano,Piazze/strade,Dissestate
94163,Segnalazioni,Verde pubblico,Aree verdi,Incuria/sporche
94166,Segnalazioni,Arredo urbano,Contenitori rifiuti,Da spostare
94167,Segnalazioni,,,
94168,Segnalazioni,,,
94169,Segnalazioni,,,
94172,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Rifiuti urbani
94175,Segnalazioni,,,
94178,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
94179,Segnalazioni,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,Danneggiati
94180,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Rifiuti urbani
94183,Segnalazioni,,,
94185,Segnalazioni,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,Danneggiati
94187,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Rifiuti ingombranti
